Designator,Footprint,Quantity,Value,LCSC Part #
C10,0603,1,220n,
"C11, C12, C14, C26",CP_Radial_D5.0mm_P2.50mm,4,10u,
"C13, C21, C24, C30, C31, C32, C34",0603,7,100n,
"C15, C16, C17, C18",0603,4,1n,
"C19, C23, C25, C27, C28",0603,5,10u,
"C20, C22, C29",0603,3,1u,
"C33, C35",0603,2,2.2u,
D5,D_SMA,1,B340A,
"D6, D7",D_SOD-123,2,BAT43,
"FB1, FB2, FB3",0603,3,BLM18R,
J11,IDC-Header_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
J2,PinSocket_1x09_P2.54mm_Vertical,1,m_in_Con,
J3,PinSocket_1x07_P2.54mm_Vertical,1,m_Out_Con,
R13,0603,1,_,
U2,Esp32-S3 Zero,1,ESP32_S3_zero,
U3,TO-252-3_TabPin2,1,LM78M05_TO252,
U4,TSSOP-38_4.4x9.7mm_P0.5mm,1,ADS8688,
U5,SOT-23-5,1,ME6211C33M5,
U6,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,
